ID,rcore_eff,rcore_err_eff,L_eff,L_err_eff,rcore_king,rcore_err_king,c,c_err,rh_king,rh_err_king,L_king,L_err_king,logt,logt_inf,logt_sup,E(B-V),Z,Mass,Mass_sup,Mass_inf,log(M/L),log(t_rh)
H86-186,1.1143776218019008,0.1955558290298869,4.107007901141452,0.3265843472007247,1.1851199893448772,0.2272260134265636,0.7609220877030031,0.0735202161472055,1.5033362694433878,0.2742621841147809,4.08034317476609,0.1927284720703747,8.21233,8.02844,8.49671,0.113953,0.004,3.151001907992831,0.27861904779252405,0.46361904779252405,-0.9560059931486212,7.300955114944437
H86-190,0.6283479101783114,0.2344862077677913,,,0.9738648724493042,0.4669572767354353,0.7261836021736133,0.5393478886898672,1.0638528842230424,0.3390299087829673,3.5421127446252187,0.3189794606990387,7.66443,7.37361,7.98698,0.0534124,0.004,2.3015616808136063,0.3791352573733073,0.5641352573733073,-3.0385185885708874,6.754375907506312
H86-191,,,,,1.956004156220344,1.520697245754029,0.3128137091850065,0.5029993778912112,1.339666594947535,0.4382323540051151,3.276593591473292,1.1561815937454702,8.04474,7.73256,8.48421,0.0828851,0.004,2.5275383929874837,0.2447594030275741,0.4297594030275741,-0.7823152193904552,6.999774202346153
H86-193,1.7783462507644234,0.352391261960276,3.754959068837345,0.4875198753743606,2.2916179165337835,0.7130348552376591,0.5688166757165186,0.3209659104370464,1.900386776090734,0.4030997967214157,3.6167484737413287,0.2537673843282169,8.05797,7.71584,8.36861,0.141434,0.004,2.7790933706178182,0.2685787503430727,0.4535787503430727,-0.9758656982195268,7.3122681688961055
H86-194,0.6805717979203824,0.3939419066843369,,,2.3207753659532298,1.053409459198844,0.1151328129942845,0.24177579350223,1.1487186413690402,0.2365386436698816,3.2716515352454736,2.8228878018233723,8.07356,7.80253,8.39374,0.072429,0.004,2.3558536358105426,0.4155569898355575,0.6005569898355575,-2.7784589124742087,6.846779393460281
H86-213,0.3252439694659452,0.100450376213349,,,0.505830221789127,0.1535772584955096,1.2508697590817044,0.2973912476650966,1.0274818454461865,0.2220789225560768,2.988984323002064,0.2015352257654379,8.40071,8.12282,8.60023,0.119679,0.004,2.7400135343403718,0.2600166844997433,0.4450166844997433,-1.827756322577557,6.92223093947154
H86-6,1.151382641481652,0.2840138117528764,2.569120910354564,0.3654744036200787,2.4303128110695287,0.8864219213719458,0.1983048210267761,0.1920346733203744,1.3881613133166766,0.2784001877047378,2.4814327755298096,1.4260671949887134,9.43555,9.21935,9.50543,0.0804623,0.002,2.8632199260800237,0.3352072009906725,0.5202072009906725,0.2940990157254597,7.244874967152331
H86-60,,,,,1.4866359008050145,1.141597101512117,0.2728318267698654,0.5130018258601218,0.9153378092175466,0.2975459777570938,2.8366691670380386,1.2384969501505387,,,,,,,,,,9999.99
H86-74,0.92923498360505,0.1897905084975323,4.766234776785415,0.8205297586062649,1.0284214306145885,0.2258793530037749,1.116502557451054,0.2362386719664897,1.7124697424103108,0.3456333533778679,4.505945502615056,0.1847194264158992,7.91555,7.77618,8.03417,0.143455,0.004,2.662250543920569,0.37278026012112825,0.5577802601211282,-2.1039842328648466,7.19558789488486
H86-86,0.3491360365622945,0.1205695925748862,2.826439012068328,0.6171855713749725,0.4094469690304582,0.1698953103551868,0.9014795784353834,0.3733140004227642,0.5637511010412705,0.1445715565182367,2.680457354956205,0.2647149716086385,,,,,,,,,,9999.99
