# from Cuevas-Otahola 2021MNRAS.500.4422C
ID R_g gamma gamma_minus gamma_plus R_c Rc_minus Rc_plus R_h Rh_minus Rh_plus R_t Rt_minus Rt_plus Mbound_M_ratio rho_0 rho_0_minus rho_0_plus Sigma_0 Sigma_0_minus Sigma_0_plus M M_minus M_plus L L_minus L_plus rho_h rho_h_minus rho_h_plus I_h I_h_minus I_h_plus sigma_p sigma_p_minus sigma_p_plus Reff_ini_Rjac_ini
D158	2.30	2.98	0.22	0.30	2.67	0.42	0.54	6.12	0.32	0.42	6.23	0.79	0.98	0.51	1.39	0.15	0.17	2.13	0.16	0.18	4.02	0.46	0.56	4.91	0.46	0.56	1.04	0.73	0.86	2.53	0.73	0.86	0.92	0.64	0.79	0.15
D159	2.08	2.93	0.16	0.19	1.37	0.23	0.24	3.26	0.30	0.33	7.64	0.59	0.60	0.75	1.92	0.15	0.15	2.36	0.20	0.21	3.68	0.43	0.42	4.57	0.43	0.42	1.52	0.27	0.24	2.74	0.27	0.24	0.98	0.52	0.52	0.11
D163	1.06	4.00	1.70	0.10	4.53	1.67	0.15	7.04	0.71	0.05	5.91	2.68	0.24	0.41	2.51	0.26	0.07	3.48	0.27	0.08	5.68	0.21	0.05	6.56	0.21	0.05	2.51	0.03	0.08	4.07	0.03	0.08	4.23	1.90	0.17	0.11
D165	3.06	2.53	0.03	0.03	0.43	0.04	0.04	1.78	0.16	0.16	13.86	0.35	0.35	0.83	2.81	0.09	0.09	2.75	0.15	0.15	3.22	0.34	0.34	4.11	0.34	0.34	1.85	0.09	0.09	2.81	0.09	0.09	0.75	0.34	0.34	0.04
D166	2.54	2.80	0.07	0.05	1.14	0.10	0.07	3.06	0.16	0.12	9.39	0.29	0.20	0.78	2.02	0.09	0.08	2.39	0.12	0.09	3.59	0.24	0.16	4.47	0.24	0.16	1.51	0.14	0.09	2.70	0.14	0.09	0.93	0.27	0.18	0.09
D167	1.59	2.63	0.11	0.13	1.83	0.24	0.27	6.23	0.32	0.37	5.29	0.66	0.72	0.45	1.52	0.12	0.13	2.09	0.13	0.13	3.77	0.55	0.60	4.66	0.55	0.60	0.77	0.94	1.00	2.27	0.94	1.00	0.79	0.61	0.66	0.27
D169	3.40	2.94	0.06	0.07	1.06	0.08	0.09	2.52	0.12	0.14	9.37	0.22	0.28	0.84	1.83	0.09	0.10	2.17	0.12	0.15	3.27	0.17	0.22	4.16	0.17	0.22	1.45	0.06	0.09	2.56	0.06	0.09	0.70	0.19	0.25	0.06
D177	3.57	3.44	0.03	0.06	1.43	0.03	0.06	2.58	0.03	0.07	10.58	0.07	0.15	0.91	2.04	0.06	0.09	2.51	0.09	0.14	3.77	0.03	0.08	4.65	0.03	0.08	1.91	0.00	0.02	3.03	0.00	0.02	1.16	0.05	0.12	0.04
D183	2.76	2.67	0.04	0.06	1.43	0.05	0.10	4.55	0.10	0.16	11.16	0.15	0.30	0.72	2.01	0.07	0.08	2.47	0.08	0.10	3.92	0.12	0.25	4.81	0.12	0.25	1.32	0.11	0.27	2.69	0.11	0.27	1.14	0.13	0.27	0.10
D187	3.57	3.24	0.08	0.07	0.47	0.06	0.05	0.93	0.16	0.14	13.69	0.25	0.22	0.98	2.61	0.07	0.08	2.60	0.38	0.33	2.93	0.20	0.17	3.82	0.20	0.17	2.40	0.05	0.04	3.08	0.05	0.04	0.72	0.22	0.20	0.01
D188	2.37	4.00	0.15	0.20	1.05	0.08	0.10	1.63	0.11	0.14	7.37	0.26	0.33	0.95	2.21	0.15	0.17	2.54	0.29	0.33	3.47	0.07	0.08	4.35	0.07	0.08	2.21	0.03	0.05	3.13	0.03	0.05	1.05	0.19	0.24	0.04
D199	1.30	4.00	0.31	0.45	1.20	0.15	0.21	1.86	0.19	0.27	17.38	0.50	0.71	0.99	3.84	0.20	0.24	4.23	0.37	0.45	5.27	0.10	0.13	6.15	0.10	0.13	3.84	0.07	0.10	4.82	0.07	0.10	7.73	0.36	0.51	0.03
D201	1.56	2.82	0.09	0.07	1.51	0.15	0.10	3.97	0.19	0.14	5.75	0.38	0.23	0.62	1.76	0.11	0.09	2.25	0.13	0.11	3.69	0.29	0.16	4.58	0.29	0.16	1.27	0.26	0.13	2.58	0.26	0.13	0.89	0.34	0.20	0.18
D223	2.05	2.51	0.05	0.05	0.45	0.06	0.06	1.96	0.26	0.26	25.43	0.52	0.52	0.86	3.89	0.09	0.09	3.85	0.20	0.20	4.37	0.51	0.51	5.26	0.51	0.51	2.88	0.16	0.16	3.88	0.16	0.16	2.75	0.52	0.52	0.04
D226	2.27	3.50	0.06	0.10	0.68	0.05	0.07	1.21	0.09	0.13	16.44	0.15	0.22	0.99	3.18	0.08	0.12	3.33	0.06	0.17	3.93	0.09	0.13	4.82	0.09	0.13	3.06	0.02	0.04	3.86	0.02	0.04	2.11	0.13	0.18	0.02
D230	2.99	3.05	0.05	0.05	0.57	0.04	0.04	1.24	0.11	0.11	19.58	0.18	0.18	0.97	3.15	0.06	0.06	3.22	0.20	0.20	3.74	0.15	0.15	4.63	0.15	0.15	2.84	0.01	0.01	3.64	0.01	0.01	1.63	0.16	0.16	0.02
D236	3.11	3.59	0.07	0.09	1.11	0.06	0.08	1.90	0.08	0.10	15.66	0.16	0.20	0.97	2.78	0.10	0.10	3.14	0.17	0.18	4.15	0.07	0.09	5.03	0.07	0.09	2.69	0.00	0.01	3.68	0.00	0.01	2.15	0.12	0.16	0.03
D237	2.56	2.62	0.08	0.07	0.74	0.09	0.07	2.57	0.26	0.22	7.99	0.43	0.33	0.74	1.98	0.09	0.09	2.16	0.05	0.04	3.07	0.39	0.30	3.95	0.39	0.30	1.22	0.16	0.11	2.34	0.16	0.11	0.56	0.41	0.32	0.09
D238	3.78	3.72	0.08	0.07	1.63	0.07	0.07	2.70	0.07	0.06	8.90	0.17	0.15	0.90	1.89	0.10	0.09	2.42	0.15	0.14	3.75	0.06	0.05	4.64	0.06	0.05	1.83	0.01	0.01	2.97	0.01	0.01	1.07	0.13	0.11	0.04
D245	2.55	2.79	0.08	0.05	1.52	0.12	0.08	4.16	0.17	0.11	4.94	0.31	0.22	0.56	1.15	0.10	0.08	1.65	0.12	0.10	3.11	0.24	0.17	3.99	0.24	0.17	0.63	0.21	0.16	1.96	0.21	0.16	0.44	0.28	0.19	0.17
D253	2.18	2.34	0.05	0.04	0.91	0.09	0.06	7.69	0.39	0.30	14.15	0.72	0.45	0.59	2.65	0.08	0.06	2.92	0.05	0.03	4.19	0.70	0.44	5.08	0.70	0.44	0.91	1.53	0.92	2.51	1.53	0.92	1.50	0.71	0.44	0.18
D258	2.23	3.06	0.25	0.30	2.38	0.47	0.52	5.16	0.36	0.41	4.11	0.91	1.00	0.41	1.03	0.17	0.18	1.72	0.20	0.21	3.48	0.53	0.56	4.37	0.53	0.56	0.72	0.67	0.70	2.15	0.67	0.70	0.54	0.75	0.81	0.19
D261	2.94	3.13	0.13	0.14	1.93	0.18	0.22	4.01	0.17	0.19	7.37	0.37	0.45	0.71	1.54	0.12	0.13	2.14	0.16	0.17	3.71	0.20	0.26	4.59	0.20	0.26	1.28	0.16	0.21	2.59	0.16	0.21	0.84	0.30	0.37	0.09
